season,team,matches,points,goals_for,goals_against,goal_diff,ppg
2017/18,Man City,38,100,106,27,79,2.6315789473684212
2017/18,Man United,38,81,68,28,40,2.1315789473684212
2017/18,Tottenham,38,77,74,36,38,2.026315789473684
2017/18,Liverpool,38,75,84,38,46,1.9736842105263157
2017/18,Chelsea,38,70,62,38,24,1.8421052631578947
2017/18,Arsenal,38,63,74,51,23,1.6578947368421053
2017/18,Burnley,38,54,36,39,-3,1.4210526315789473
2017/18,Everton,38,49,44,58,-14,1.2894736842105263
2017/18,Leicester,38,47,56,60,-4,1.236842105263158
2017/18,Newcastle,38,44,39,47,-8,1.1578947368421053
2017/18,Crystal Palace,38,44,45,55,-10,1.1578947368421053
2017/18,Bournemouth,38,44,45,61,-16,1.1578947368421053
2017/18,West Ham,38,42,48,68,-20,1.105263157894737
2017/18,Watford,38,41,44,64,-20,1.0789473684210527
2017/18,Brighton,38,40,34,54,-20,1.0526315789473684
2017/18,Huddersfield,38,37,28,58,-30,0.9736842105263158
2017/18,Southampton,38,36,37,56,-19,0.9473684210526315
2017/18,Swansea,38,33,28,56,-28,0.868421052631579
2017/18,Stoke,38,33,35,68,-33,0.868421052631579
2017/18,West Brom,38,31,31,56,-25,0.8157894736842105
2018/19,Man City,38,98,95,23,72,2.5789473684210527
2018/19,Liverpool,38,97,89,22,67,2.5526315789473686
2018/19,Chelsea,38,72,63,39,24,1.894736842105263
2018/19,Tottenham,38,71,67,39,28,1.868421052631579
2018/19,Arsenal,38,70,73,51,22,1.8421052631578947
2018/19,Man United,38,66,65,54,11,1.736842105263158
2018/19,Wolves,38,57,47,46,1,1.5
2018/19,Everton,38,54,54,46,8,1.4210526315789473
2018/19,Leicester,38,52,51,48,3,1.368421052631579
2018/19,West Ham,38,52,52,55,-3,1.368421052631579
2018/19,Watford,38,50,52,59,-7,1.3157894736842106
2018/19,Crystal Palace,38,49,51,53,-2,1.2894736842105263
2018/19,Newcastle,38,45,42,48,-6,1.1842105263157894
2018/19,Bournemouth,38,45,56,70,-14,1.1842105263157894
2018/19,Burnley,38,40,45,68,-23,1.0526315789473684
2018/19,Southampton,38,39,45,65,-20,1.0263157894736843
2018/19,Brighton,38,36,35,60,-25,0.9473684210526315
2018/19,Cardiff,38,34,34,69,-35,0.8947368421052632
2018/19,Fulham,38,26,34,81,-47,0.6842105263157895
2018/19,Huddersfield,38,16,22,76,-54,0.42105263157894735
2019/20,Liverpool,38,99,85,33,52,2.6052631578947367
2019/20,Man City,38,81,102,35,67,2.1315789473684212
2019/20,Man United,38,66,66,36,30,1.736842105263158
2019/20,Chelsea,38,66,69,54,15,1.736842105263158
2019/20,Leicester,38,62,67,41,26,1.631578947368421
2019/20,Tottenham,38,59,61,47,14,1.5526315789473684
2019/20,Wolves,38,59,51,40,11,1.5526315789473684
2019/20,Arsenal,38,56,56,48,8,1.4736842105263157
2019/20,Sheffield United,38,54,39,39,0,1.4210526315789473
2019/20,Burnley,38,54,43,50,-7,1.4210526315789473
2019/20,Southampton,38,52,51,60,-9,1.368421052631579
2019/20,Everton,38,49,44,56,-12,1.2894736842105263
2019/20,Newcastle,38,44,38,58,-20,1.1578947368421053
2019/20,Crystal Palace,38,43,31,50,-19,1.131578947368421
2019/20,Brighton,38,41,39,54,-15,1.0789473684210527
2019/20,West Ham,38,39,49,62,-13,1.0263157894736843
2019/20,Aston Villa,38,35,41,67,-26,0.9210526315789473
2019/20,Bournemouth,38,34,40,65,-25,0.8947368421052632
2019/20,Watford,38,34,36,64,-28,0.8947368421052632
2019/20,Norwich,38,21,26,75,-49,0.5526315789473685
2020/21,Man City,38,86,83,32,51,2.263157894736842
2020/21,Man United,38,74,73,44,29,1.9473684210526316
2020/21,Liverpool,38,69,68,42,26,1.8157894736842106
2020/21,Chelsea,38,67,58,36,22,1.763157894736842
2020/21,Leicester,38,66,68,50,18,1.736842105263158
2020/21,West Ham,38,65,62,47,15,1.7105263157894737
2020/21,Tottenham,38,62,68,45,23,1.631578947368421
2020/21,Arsenal,38,61,55,39,16,1.605263157894737
2020/21,Leeds,38,59,62,54,8,1.5526315789473684
2020/21,Everton,38,59,47,48,-1,1.5526315789473684
2020/21,Aston Villa,38,55,55,46,9,1.4473684210526316
2020/21,Newcastle,38,45,46,62,-16,1.1842105263157894
2020/21,Wolves,38,45,36,52,-16,1.1842105263157894
2020/21,Crystal Palace,38,44,41,66,-25,1.1578947368421053
2020/21,Southampton,38,43,47,68,-21,1.131578947368421
2020/21,Brighton,38,41,40,46,-6,1.0789473684210527
2020/21,Burnley,38,39,33,55,-22,1.0263157894736843
2020/21,Fulham,38,28,27,53,-26,0.7368421052631579
2020/21,West Brom,38,26,35,76,-41,0.6842105263157895
2020/21,Sheffield United,38,23,20,63,-43,0.6052631578947368
2021/22,Man City,38,93,99,26,73,2.4473684210526314
2021/22,Liverpool,38,92,94,26,68,2.4210526315789473
2021/22,Chelsea,38,74,76,33,43,1.9473684210526316
2021/22,Tottenham,38,71,69,40,29,1.868421052631579
2021/22,Arsenal,38,69,61,48,13,1.8157894736842106
2021/22,Man United,38,58,57,57,0,1.5263157894736843
2021/22,West Ham,38,56,60,51,9,1.4736842105263157
2021/22,Leicester,38,52,62,59,3,1.368421052631579
2021/22,Brighton,38,51,42,44,-2,1.3421052631578947
2021/22,Wolves,38,51,38,43,-5,1.3421052631578947
2021/22,Newcastle,38,49,44,62,-18,1.2894736842105263
2021/22,Crystal Palace,38,48,50,46,4,1.263157894736842
2021/22,Brentford,38,46,48,56,-8,1.2105263157894737
2021/22,Aston Villa,38,45,52,54,-2,1.1842105263157894
2021/22,Southampton,38,40,43,67,-24,1.0526315789473684
2021/22,Everton,38,39,43,66,-23,1.0263157894736843
2021/22,Leeds,38,38,42,79,-37,1.0
2021/22,Burnley,38,35,34,53,-19,0.9210526315789473
2021/22,Watford,38,23,34,77,-43,0.6052631578947368
2021/22,Norwich,38,22,23,84,-61,0.5789473684210527
2022/23,Man City,38,89,94,33,61,2.3421052631578947
2022/23,Arsenal,38,84,88,43,45,2.210526315789474
2022/23,Man United,38,75,58,43,15,1.9736842105263157
2022/23,Newcastle,38,71,68,33,35,1.868421052631579
2022/23,Liverpool,38,67,75,47,28,1.763157894736842
2022/23,Brighton,38,62,72,53,19,1.631578947368421
2022/23,Aston Villa,38,61,51,46,5,1.605263157894737
2022/23,Tottenham,38,60,70,63,7,1.5789473684210527
2022/23,Brentford,38,59,58,46,12,1.5526315789473684
2022/23,Fulham,38,52,55,53,2,1.368421052631579
2022/23,Crystal Palace,38,45,40,49,-9,1.1842105263157894
2022/23,Chelsea,38,44,38,47,-9,1.1578947368421053
2022/23,Wolves,38,41,31,58,-27,1.0789473684210527
2022/23,West Ham,38,40,42,55,-13,1.0526315789473684
2022/23,Bournemouth,38,39,37,71,-34,1.0263157894736843
2022/23,Nott'm Forest,38,38,38,68,-30,1.0
2022/23,Everton,38,36,34,57,-23,0.9473684210526315
2022/23,Leicester,38,34,51,68,-17,0.8947368421052632
2022/23,Leeds,38,31,48,78,-30,0.8157894736842105
2022/23,Southampton,38,25,36,73,-37,0.6578947368421053
2023/24,Man City,38,91,96,34,62,2.3947368421052633
2023/24,Arsenal,38,89,91,29,62,2.3421052631578947
2023/24,Liverpool,38,82,86,41,45,2.1578947368421053
2023/24,Aston Villa,38,68,76,61,15,1.7894736842105263
2023/24,Tottenham,38,66,74,61,13,1.736842105263158
2023/24,Chelsea,38,63,77,63,14,1.6578947368421053
2023/24,Newcastle,38,60,85,62,23,1.5789473684210527
2023/24,Man United,38,60,57,58,-1,1.5789473684210527
2023/24,West Ham,38,52,60,74,-14,1.368421052631579
2023/24,Crystal Palace,38,49,57,58,-1,1.2894736842105263
2023/24,Brighton,38,48,55,62,-7,1.263157894736842
2023/24,Everton,38,48,40,51,-11,1.263157894736842
2023/24,Bournemouth,38,48,54,67,-13,1.263157894736842
2023/24,Fulham,38,47,55,61,-6,1.236842105263158
2023/24,Wolves,38,46,50,65,-15,1.2105263157894737
2023/24,Brentford,38,39,56,65,-9,1.0263157894736843
2023/24,Nott'm Forest,38,36,49,67,-18,0.9473684210526315
2023/24,Luton,38,26,52,85,-33,0.6842105263157895
2023/24,Burnley,38,24,41,78,-37,0.631578947368421
2023/24,Sheffield United,38,16,35,104,-69,0.42105263157894735
2024/25,Liverpool,35,82,81,35,46,2.342857142857143
2024/25,Arsenal,35,67,64,31,33,1.9142857142857144
2024/25,Man City,35,64,67,43,24,1.8285714285714285
2024/25,Chelsea,35,63,62,41,21,1.8
2024/25,Newcastle,35,63,66,45,21,1.8
2024/25,Nott'm Forest,35,61,54,42,12,1.7428571428571429
2024/25,Aston Villa,35,60,55,49,6,1.7142857142857142
2024/25,Bournemouth,35,53,55,42,13,1.5142857142857142
2024/25,Brentford,35,52,62,53,9,1.4857142857142858
2024/25,Brighton,35,52,57,56,1,1.4857142857142858
2024/25,Fulham,35,51,50,47,3,1.457142857142857
2024/25,Crystal Palace,35,46,44,48,-4,1.3142857142857143
2024/25,Wolves,35,41,51,62,-11,1.1714285714285715
2024/25,Everton,35,39,36,43,-7,1.1142857142857143
2024/25,Man United,35,39,42,51,-9,1.1142857142857143
2024/25,Tottenham,35,38,63,57,6,1.0857142857142856
2024/25,West Ham,35,37,40,59,-19,1.0571428571428572
2024/25,Ipswich,35,22,35,76,-41,0.6285714285714286
2024/25,Leicester,35,21,29,76,-47,0.6
2024/25,Southampton,35,11,25,82,-57,0.3142857142857143
