team,title,top4,relegation,avg_finish,avg_points,avg_gd,avg_gf
Man City,0.3942,0.9615,0.0,2.0828,79.6104,45.645,84.1218
Liverpool,0.3175,0.9485,0.0,2.2869,78.4078,43.7361,84.0281
Arsenal,0.2607,0.9329,0.0,2.4654,77.4239,40.0334,75.7045
Newcastle,0.0141,0.3776,0.0002,5.804,64.0558,18.8095,71.2429
Chelsea,0.0083,0.2943,0.0004,6.3459,62.4771,15.8136,64.9981
Aston Villa,0.0014,0.1116,0.0025,8.3572,57.4335,7.5643,61.4575
Brentford,0.0014,0.0832,0.0058,8.9881,55.9667,5.1347,61.5097
Tottenham,0.0013,0.118,0.0024,8.3586,57.4033,7.4377,68.1944
Nott'm Forest,0.0002,0.0318,0.0172,10.9875,51.524,-1.8145,53.6031
Fulham,0.0002,0.0319,0.0149,10.9358,51.6532,-1.5131,52.8146
Crystal Palace,0.0002,0.0161,0.0271,11.8548,49.6216,-4.2553,49.7289
Brighton,0.0002,0.0272,0.0182,11.0754,51.3434,-2.4925,57.0988
Man United,0.0002,0.0272,0.0164,10.9663,51.5544,-1.5925,52.7243
Bournemouth,0.0001,0.0283,0.0182,10.9763,51.567,-1.6249,54.1185
Everton,0.0,0.0043,0.0857,13.9347,44.7668,-10.429,39.3966
Ipswich,0.0,0.0,0.8682,18.6231,28.4564,-43.5518,39.23
Leicester,0.0,0.0001,0.7391,17.9493,31.8283,-35.5322,39.128
Southampton,0.0,0.0,0.9722,19.4918,22.8724,-52.9788,31.4293
West Ham,0.0,0.0022,0.1157,14.4633,43.4952,-15.1955,49.0101
Wolves,0.0,0.0033,0.0958,14.0528,44.4596,-13.1942,48.3794
